year,doy,hour,mean,std
2013,205,12,-0.06825600000000001,0.0216
2013,260,10,-0.228096,0.0036656415536710793
2014,167,10,-0.10800000000000001,0.0216
2015,98,12,-0.00864,0.0216
2015,169,10,-0.20303999999999997,0.026881371393587802
2015,203,8,-0.121824,0.0216
2015,203,9,-0.21427200000000002,0.0216
2015,283,15,-0.06264,0.0030547012947258886
2015,324,13,-0.002592,0.0216
2016,82,13,-0.011332285714285717,0.01006960462511426
2016,134,9,-0.026478,0.02991061684419096
2016,168,13,-0.36882,0.007789488301550977
2016,201,12,-0.24516000000000002,0.08094958431023598
2016,252,7,0.037108800000000004,0.0634766929044039
2016,292,12,-0.251352,0.039812940207927396
2017,109,10,-0.051114857142857135,0.014160722430550715
2017,144,10,-0.06733028571428572,0.058562987678887686
2017,144,11,-0.038232,0.0216
2017,172,7,-0.05373,0.008171325963391736
2017,200,8,-0.17524800000000001,0.2948804983175388
2017,262,12,-0.23252400000000004,0.4320874981389765
2017,311,13,0.017028,0.003716553241916495
2018,108,12,0.006966000000000005,0.03276167138593512
2018,131,10,-0.009612000000000006,0.264689867187998
2018,159,14,0.07704000000000001,0.09265927260668518
2018,262,8,-0.039528,0.03207436359462179
2019,155,12,-0.125064,0.2532347373327759
2019,197,13,-0.25758000000000003,0.21825840750816453
2019,231,13,-0.00972,0.08644804664074256
2021,112,11,0.0629856,0.0216
2021,138,11,-0.0010800000000000022,0.0216
2021,173,12,-0.081432,0.0216
2021,201,8,0.0882144,0.0216
2021,266,8,0.0039744,0.0216
