year,doy,hour,mean,std
2013,205,13,0.264384,0.0324
2013,260,10,0.15292799999999998,0.0324
2013,302,12,0.015551999999999998,0.0324
2014,167,9,0.264384,0.0324
2014,190,13,0.34149599999999997,0.03665641553671064
2014,337,8,0.004536,0.0324
2015,98,12,0.030455999999999997,0.0324
2015,169,9,0.033372,0.0077894883015510044
2015,169,9,0.142344,0.018008493995889843
2015,202,13,0.18856799999999999,0.036656415536710646
2015,202,13,0.06382800000000001,0.012371540243639843
2015,283,13,0.026568,0.010996924661013189
2015,283,13,0.075492,0.012371540243639836
2015,324,12,0.033696,0.0324
2015,324,12,0.010368,0.0324
2016,82,13,0.04575959999999999,0.00019855558415718863
2016,82,13,0.008856,0.0006109402589451759
2016,134,7,0.033768000000000006,0.0324
2016,134,7,0.006156,0.0324
2016,134,8,0.038447999999999996,0.0324
2016,134,8,0.009395999999999998,0.0324
2016,168,12,0.29564999999999997,0.0002291025971044772
2016,168,12,0.139968,0.013746155826266485
2016,201,11,0.207036,0.03711462073091952
2016,201,11,0.32724,0.04490410903247053
2016,252,7,0.030618,0.004811154539193271
2016,252,7,0.06804,0.01145512985522207
2016,292,11,0.135864,0.0324
2016,292,11,0.05151599999999999,0.0324
2016,292,12,0.060264,0.0324
2016,292,12,0.12851999999999997,0.0324
2016,341,9,0.015147,0.005842116226163254
2016,341,9,0.004374,0.0006873077913133247
2017,109,10,0.07079399999999998,0.00435294934498438
2017,109,10,0.03731399999999999,0.0009927779207859152
2017,144,10,0.06350399999999999,0.007331283107342122
2017,144,10,0.128196,0.006262137654188082
2017,171,13,0.067392,0.012829745437848717
2017,171,13,0.15562799999999996,0.03650368047197434
2017,200,6,0.10124999999999999,0.0324
2017,200,6,0.059616,0.0324
2017,200,7,0.061236,0.0324
2017,200,7,0.11469599999999999,0.0324
2017,262,11,0.04811399999999999,0.015349874005997573
2017,262,11,0.10735200000000002,0.0036656415536710655
2017,311,12,0.023975999999999997,0.0015273506473629473
2017,311,12,0.025109999999999997,0.00847679609286433
2018,108,11,0.10335599999999999,0.0324
2018,108,11,0.14779799999999996,0.025124918149120438
2018,131,9,0.08391599999999999,0.0324
2018,131,9,0.208332,0.0324
2018,131,10,0.09331199999999999,0.0324
2018,131,10,0.154872,0.0324
2018,160,7,0.014093999999999997,0.006643975316028799
2018,160,7,0.036612,0.00962230907838654
2018,214,8,0.096768,0.018022737638882704
2018,214,8,0.046332000000000005,0.005040257136297712
2018,262,7,0.02511,0.005269359733402151
2018,262,7,0.045197999999999995,0.0029783337623577382
2019,113,12,0.10616400000000001,0.02810325191147814
2019,113,12,0.07614,0.0324
2019,155,11,0.099144,0.0324
2019,155,11,0.15336000000000002,0.0324
2019,155,12,0.12441599999999998,0.0324
2019,155,12,0.066096,0.0324
2019,197,11,0.074034,0.023139362307548584
2019,197,11,0.141588,0.02611769606990633
2019,231,13,0.24105599999999996,0.04123846747879943
2019,231,13,0.11242799999999999,0.01970282335098195
2021,112,10,0.10588319999999998,0.0324
2021,112,10,0.046224,0.0324
2021,138,11,0.06652800000000002,0.0324
2021,138,11,0.192942,0.0324
2021,173,11,0.044582399999999994,0.0324
2021,173,11,0.23155199999999995,0.0324
2021,201,7,0.018576,0.0324
2021,201,7,0.051451199999999996,0.0324
2021,266,7,0.020574,0.0324
2021,266,7,0.04752,0.0324
2021,299,11,0.07289999999999999,0.0324
2021,299,11,0.025758,0.0324
