year,doy,hour,mean,std
2013,205,11,0.24040799999999998,0.0324
2013,260,14,0.06220799999999999,0.0324
2013,302,13,0.013607999999999999,0.0324
2014,167,10,0.243,0.0324
2014,190,13,0.296136,0.0324
2014,190,14,0.30585599999999996,0.0324
2015,98,12,0.038231999999999995,0.0324
2015,169,10,0.120528,0.0324
2015,169,10,0.034992,0.0324
2015,169,11,0.0324,0.0324
2015,169,11,0.115344,0.0324
2015,203,8,0.028512,0.0324
2015,203,8,0.084888,0.0324
2015,203,9,0.025272,0.0324
2015,203,9,0.08942399999999999,0.0324
2015,283,12,0.03855599999999999,0.004123846747879941
2015,283,12,0.07128,0.020161028545190845
2015,324,10,0.040175999999999996,0.0324
2015,324,10,0.010368,0.0324
2015,324,12,0.046655999999999996,0.0324
2015,324,12,0.02268,0.0324
2016,82,12,0.072252,0.0324
2016,82,12,0.143208,0.0324
2016,82,13,0.03952800000000001,0.0324
2016,82,13,0.09709199999999998,0.0324
2016,134,7,0.06399,0.02313936230754858
2016,134,7,0.016631999999999997,0.0070258129778695355
2016,168,10,0.104004,0.005040257136297704
2016,168,10,0.194076,0.02886692723515961
2016,201,12,0.161352,0.005498462330506588
2016,201,12,0.24510599999999996,0.05475552070796149
2016,252,7,0.037259999999999995,0.0004582051942088832
2016,252,7,0.11861099999999998,0.0006491240251292554
2016,292,12,0.07338599999999998,0.010767822063908744
2016,292,12,0.152928,0.0013746155826266293
2016,341,9,0.038933999999999996,0.0032838038918303236
2016,341,9,0.012473999999999999,0.00847679609286433
2017,109,10,0.056376,0.02016102854519084
2017,109,10,0.118584,0.015578976603102012
2017,144,11,0.07387200000000001,0.0018328207768355277
2017,144,11,0.12394079999999999,0.0018939148027300387
2017,172,7,0.09639,0.04604962201799272
2017,172,7,0.15165900000000002,0.0030165175285418355
2017,199,6,0.08461800000000001,0.021459276595449335
2017,199,6,0.038771999999999994,0.015426241538365715
2017,262,10,0.07916399999999998,0.004734787006825109
2017,262,10,0.163134,0.007102180510237695
2017,312,8,0.019601999999999998,0.0011455129855222081
2017,312,8,0.034344,0.002443761035780706
2018,108,11,0.173988,0.0324
2018,108,12,0.054431999999999994,0.0324
2018,108,12,0.127332,0.0324
2018,131,11,0.08877600000000001,0.0324
2018,131,11,0.13510799999999998,0.0324
2018,160,7,0.050814,0.006796710380765098
2018,160,7,0.008748,0.009622309078386538
2018,214,9,0.20779199999999998,0.005803932459979194
2018,214,9,0.089586,0.001145512985522203
2018,262,8,0.07376400000000001,0.012677010373112446
2018,262,8,0.041796,0.004123846747879947
2019,113,10,0.06804,0.0324
2019,113,10,0.112428,0.0324
2019,113,11,0.050544,0.0324
2019,155,12,0.097038,0.013058848034953162
2019,155,12,0.16038,0.02703410645832408
2019,197,10,0.104976,0.01237154024363982
2019,197,10,0.200232,0.0009164103884177766
2019,233,8,0.06901199999999999,0.006873077913133238
2019,233,8,0.11323799999999999,0.013058848034953151
2021,112,12,0.224208,0.0324
2021,112,12,0.067392,0.0324
2021,138,12,0.269568,0.0324
2021,138,12,0.069984,0.0324
2021,173,12,0.095256,0.0324
2021,173,12,0.216756,0.0324
2021,201,8,0.0837216,0.0324
2021,201,8,0.036936,0.0324
2021,266,8,0.044064,0.0324
2021,266,8,0.0865728,0.0324
2021,299,12,0.069984,0.0324
2021,299,12,0.05076,0.0324
