year,doy,hour,mean,std
2013,203,11,0.0034560000000000003,0.0006109402589451769
2013,261,10,0.019224,0.003971111683143651
2013,261,11,0.005184000000000001,0.0012218805178903546
2013,303,7,0.00108,0.00030547012947258854
2014,167,11,0.00108,0.00030547012947258854
2014,191,8,0.0030240000000000006,0.0011698615302675782
2014,337,12,0.000648,0.00030547012947258854
2015,99,7,0.00043200000000000004,0.0
2015,169,6,0.0025920000000000006,0.0011698615302675787
2015,203,9,0.014796000000000002,0.00846819177865027
2015,283,7,0.021816000000000002,0.005355173946754669
2015,324,13,0.002376,0.0003054701294725884
2016,83,8,0.000513,0.00036757040141991847
2016,134,12,0.01068,0.00010998181667894008
2016,168,7,0.015150857142857143,0.0037092801435957183
2016,168,8,0.012096000000000003,0.0006109402589451769
2016,200,9,0.023544000000000002,0.007636753236814717
2016,200,10,0.01512,0.0018328207768355306
2016,252,8,0.0193482,0.010007404946338486
2016,292,7,0.020357999999999998,0.0041897875841144985
2016,342,10,0.0009792000000000002,0.0004758540952855191
2017,109,12,0.0006839999999999999,0.0006235382907247959
2017,145,7,0.03682800000000001,0.005019214281140025
2017,171,8,0.057996000000000006,0.017231782728435268
2017,200,10,0.05533200000000001,0.006363961030678919
2017,200,11,0.046494,0.0092404714165458
2017,263,10,0.0016920000000000001,0.0005804825578774956
2017,311,9,0.001044,0.0009506545113762414
2018,108,7,0.000336,0.0005819690713431428
2018,131,7,0.00108,0.0007787990755002217
2018,159,7,0.00189,0.00020680425527536906
2018,198,7,0.053856,0.045336451030048665
2018,213,10,0.08271,0.04221670437161101
2018,261,10,0.09748799999999999,0.032787127230057826
2018,261,11,0.04802400000000002,0.016597210368010668
2019,114,10,0.006156,0.006649386137080625
2019,155,8,0.066204,0.03150615025673559
2019,197,13,0.118854,0.05076149359504703
2019,231,9,0.007074,0.0002068042552753692
2021,112,7,0.013824000000000001,0.010385984402068012
2021,138,8,0.030294000000000005,0.008018590898655448
2021,174,7,0.024786,0.003436538956566622
2021,201,10,0.000288,0.00010182337649086282
2021,299,8,0.00027,7.636753236814713e-05
