year,doy,hour,mean,std
2013,203,12,-0.149904,0.0216
2013,261,12,0.251856,0.0216
2014,167,12,-0.299808,0.0216
2014,191,9,-0.307584,0.050708041492449694
2015,169,7,-0.171504,0.022604789580971552
2015,203,10,-0.211032,0.025354020746224847
2015,283,8,-0.033048,0.019855558415718257
2015,324,14,0.0030240000000000006,0.0216
2016,83,9,-0.026740800000000002,0.012890839463743236
2016,134,13,-0.132876,0.028663280482177915
2016,168,8,0.09985371428571427,0.0216
2016,168,9,-0.09612000000000001,0.0216
2016,200,10,-0.355536,0.0216
2016,200,11,-0.32616,0.0216
2016,252,9,-0.2924856,0.005223539213981286
2016,292,8,-0.055944,0.030241542817786266
2016,342,11,-0.005327999999999997,0.015680799979592874
2017,109,13,-0.054557999999999995,0.004912977915684124
2017,145,8,-0.16358399999999998,0.028510545417441583
2017,171,9,-0.209304,0.16556481017414298
2017,200,11,-0.013824000000000001,0.0216
2017,200,12,-0.054864,0.0216
2017,263,11,-0.1854,0.06873077913133242
2017,311,10,-0.004752000000000004,0.011404218166976645
2018,108,8,-0.0198,0.024539433734297948
2018,131,8,-0.046655999999999996,0.11271847777538517
2018,159,8,-0.08274959999999999,0.022024396334973634
2018,198,8,-0.125946,0.021510188283694782
2018,213,11,-0.18558000000000002,0.036605503848465164
2018,261,11,-0.149184,0.0216
2018,261,12,-0.134064,0.0216
2019,114,11,-0.10756800000000001,0.017106327250464952
2019,155,9,0.017064000000000003,0.14021078942791815
2019,197,14,-0.113076,0.026117696069906327
2019,231,10,-0.22399200000000002,0.06262137654188067
2021,112,8,-0.08795520000000001,0.0216
2021,138,9,-0.06739200000000001,0.0216
2021,174,8,-0.056808,0.0216
2021,201,11,0.137088,0.0216
2021,235,8,0.317952,0.0216
2021,265,8,0.039929142857142864,0.0216
2021,299,9,-0.041148,0.0216
